LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT (?),WINNERS
Lotto 6/42,13-01-31-17-21-38,1/3/2012,"5,274,727.20",0
Lotto 6/42,26-22-05-42-16-41,1/5/2012,"8,480,165.40",0
Lotto 6/42,06-17-13-28-25-38,1/7/2012,"11,982,812.40",0
Lotto 6/42,06-33-24-09-04-16,1/10/2012,"15,563,678.40",0
Lotto 6/42,24-23-18-01-36-12,1/12/2012,"19,295,148.60",1
Lotto 6/42,39-42-28-34-01-04,1/14/2012,"3,207,169.80",0
Lotto 6/42,14-34-19-39-41-01,1/17/2012,"6,427,216.80",0
Lotto 6/42,11-10-34-13-17-28,1/19/2012,"9,562,590.00",0
Lotto 6/42,31-15-30-26-19-27,1/21/2012,"12,905,150.40",0
Lotto 6/42,28-30-16-21-15-26,1/24/2012,"16,475,427.00",0
Lotto 6/42,17-35-21-10-32-42,1/26/2012,"20,007,871.20",0
Lotto 6/42,37-05-27-33-40-02,1/28/2012,"23,792,106.60",0
Lotto 6/42,18-36-38-05-28-02,1/31/2012,"28,027,321.20",1
Lotto 6/42,10-38-05-18-31-01,2/2/2012,"3,210,971.40",0
Lotto 6/42,02-23-19-39-26-05,2/4/2012,"6,650,658.00",0
Lotto 6/42,29-25-09-22-11-08,2/7/2012,"10,383,438.60",1
Lotto 6/42,35-14-19-07-27-32,2/9/2012,"3,439,654.20",0
Lotto 6/42,38-01-23-25-06-17,2/11/2012,"7,106,742.00",0
Lotto 6/42,20-30-23-34-14-39,2/14/2012,"11,099,377.80",0
Lotto 6/42,31-23-25-22-42-04,2/16/2012,"15,283,364.40",0
Lotto 6/42,02-41-17-40-21-01,2/18/2012,"19,767,749.40",0
Lotto 6/42,02-27-17-35-41-13,2/21/2012,"24,686,627.40",1
Lotto 6/42,31-10-25-22-30-06,2/23/2012,"3,530,561.40",0
Lotto 6/42,10-04-12-17-40-27,2/25/2012,"7,169,472.00",0
Lotto 6/42,20-41-04-08-11-07,2/28/2012,"11,108,206.80",0
Lotto 6/42,37-02-03-33-08-18,3/1/2012,"15,226,106.40",0
Lotto 6/42,41-23-33-22-05-42,3/3/2012,"19,551,096.00",3
Lotto 6/42,39-32-34-03-08-30,3/6/2012,"3,635,571.60",0
Lotto 6/42,12-04-17-22-23-42,3/8/2012,"6,989,457.60",2
Lotto 6/42,32-28-39-26-37-42,3/10/2012,"3,372,784.20",0
Lotto 6/42,20-40-12-04-09-30,3/13/2012,"6,769,872.00",3
Lotto 6/42,35-06-04-21-15-32,3/15/2012,"3,129,546.60",0
Lotto 6/42,18-20-42-13-24-39,3/17/2012,"6,504,663.60",1
Lotto 6/42,21-13-18-01-37-02,3/20/2012,"3,312,826.20",0
Lotto 6/42,24-01-28-03-14-27,3/22/2012,"6,339,814.20",0
Lotto 6/42,04-15-05-30-11-42,3/24/2012,"9,594,385.20",1
Lotto 6/42,27-02-19-22-06-35,3/27/2012,"3,320,586.00",1
Lotto 6/42,27-23-33-03-29-30,3/29/2012,"3,000,000.00",0
Lotto 6/42,30-08-22-01-17-23,3/31/2012,"6,269,756.40",0
Lotto 6/42,38-19-06-05-40-18,4/3/2012,"9,848,221.20",0
Lotto 6/42,17-23-12-15-22-03,4/10/2012,"13,527,837.00",0
Lotto 6/42,08-34-35-29-05-26,4/12/2012,"17,032,467.60",1
Lotto 6/42,14-02-06-31-03-26,4/14/2012,"3,138,505.20",0
Lotto 6/42,01-17-38-24-22-30,4/17/2012,"6,389,980.20",0
Lotto 6/42,34-23-33-31-02-39,4/19/2012,"9,600,980.40",0
Lotto 6/42,12-09-19-35-24-14,4/21/2012,"12,929,536.80",0
Lotto 6/42,04-10-24-13-37-01,4/24/2012,"16,535,086.20",0
Lotto 6/42,24-18-19-11-33-42,4/26/2012,"20,040,656.40",0
Lotto 6/42,07-09-03-11-31-17,4/28/2012,"23,709,688.20",2
Lotto 6/42,19-15-13-02-41-25,5/1/2012,"3,000,000.00",1
Lotto 6/42,06-09-11-20-30-13,5/3/2012,"3,000,000.00",0
Lotto 6/42,32-21-26-36-12-13,5/5/2012,"5,957,685.00",0
Lotto 6/42,22-16-21-38-42-12,5/8/2012,"9,359,447.40",0
Lotto 6/42,18-24-29-14-28-08,5/10/2012,"12,812,947.20",2
Lotto 6/42,06-27-36-22-28-14,5/12/2012,"3,339,914.40",0
Lotto 6/42,08-15-30-35-31-02,5/15/2012,"6,658,054.20",0
Lotto 6/42,08-33-05-39-06-24,5/17/2012,"10,024,770.60",0
Lotto 6/42,40-26-15-37-24-32,5/19/2012,"13,644,878.40",1
Lotto 6/42,13-37-27-26-29-16,5/22/2012,"3,168,907.20",1
Lotto 6/42,10-32-06-20-35-37,5/24/2012,"3,000,000.00",0
Lotto 6/42,11-41-07-09-10-01,5/26/2012,"6,043,881.60",0
Lotto 6/42,35-23-36-18-39-32,5/29/2012,"9,179,029.80",0
Lotto 6/42,19-30-16-11-14-08,5/31/2012,"12,380,454.00",1
Lotto 6/42,31-02-20-13-27-06,6/2/2012,"3,050,973.00",0
Lotto 6/42,20-33-28-13-31-29,6/5/2012,"6,146,177.40",0
Lotto 6/42,06-10-21-30-22-33,6/7/2012,"9,170,456.40",0
Lotto 6/42,41-17-29-30-33-18,6/9/2012,"12,655,371.60",0
Lotto 6/42,06-27-09-36-16-23,6/12/2012,"16,213,681.80",0
Lotto 6/42,37-20-02-30-22-35,6/14/2012,"20,027,890.80",0
Lotto 6/42,04-39-09-13-34-18,6/16/2012,"24,002,949.60",0
Lotto 6/42,15-08-02-33-09-42,6/19/2012,"28,481,661.00",0
Lotto 6/42,23-13-19-20-42-34,6/21/2012,"32,989,293.00",1
Lotto 6/42,32-27-03-04-28-16,6/23/2012,"3,212,935.20",0
Lotto 6/42,11-10-14-21-03-22,6/26/2012,"6,530,355.00",0
Lotto 6/42,10-14-30-05-25-13,6/28/2012,"9,775,958.40",1
Lotto 6/42,04-29-31-37-03-39,6/30/2012,"3,188,118.60",0
Lotto 6/42,18-05-27-23-10-22,7/3/2012,"6,451,988.40",2
Lotto 6/42,33-40-04-21-26-20,7/5/2012,"3,090,961.80",0
Lotto 6/42,42-23-40-33-03-11,7/7/2012,"6,504,733.80",1
Lotto 6/42,14-08-18-30-34-20,7/10/2012,"3,336,966.00",0
Lotto 6/42,22-17-01-13-32-06,7/12/2012,"6,552,570.60",0
Lotto 6/42,14-18-22-23-13-29,7/14/2012,"10,154,305.80",0
Lotto 6/42,22-19-07-08-23-28,7/17/2012,"13,932,822.60",0
Lotto 6/42,06-37-16-35-12-21,7/19/2012,"17,565,809.40",0
Lotto 6/42,29-02-41-32-19-26,7/21/2012,"21,301,601.40",0
Lotto 6/42,32-34-26-17-15-28,7/24/2012,"25,500,141.00",0
Lotto 6/42,23-28-25-15-21-14,7/26/2012,"29,681,604.00",0
Lotto 6/42,03-31-34-10-05-02,7/28/2012,"34,087,183.20",1
Lotto 6/42,29-04-28-41-02-01,7/31/2012,"3,160,612.80",0
Lotto 6/42,32-06-01-38-20-10,8/2/2012,"6,329,917.80",0
Lotto 6/42,33-28-15-19-30-23,8/4/2012,"9,605,406.60",0
Lotto 6/42,20-04-15-39-41-35,8/7/2012,"11,884,741.20",0
Lotto 6/42,42-14-41-22-25-33,8/9/2012,"15,136,385.40",1
Lotto 6/42,38-10-23-15-19-42,8/11/2012,"3,053,079.00",1
